Nom;Molecule;Dosage;Unite;Forme;Presentation;PPV;Remboursement
CLAMOXYL;AMOXICILLINE;250;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 100 ML; 48,70   ;70%
DYNASTAT;PARECOXIB;40;MG;POUDRE POUR SOLUTION INJECTABLE;1 FLACON 2 ML; 76,00   ;0%
EPREX 4000 UI/ML;EPOETINE ALFA;2000;UI;SOLUTION INJECTABLE;6 SERINGUE PREREMPLIE .5 ML; 1 381,00   ;70%
GLYCAN 850 RETARD;METFORMINE;850;MG;COMPRIME ENROBE LP;1 BOITE 30 COMPRIME; 21,40   ;70%
LORACTYNE;LORATADINE;0.1;%;SIROP;1 FLACON 120 ML; 60,00   ;70%
XENID;DICLOFENAC;25;MG;SUPPOSITOIRE;1 BOITE 10 SUPPOSITOIRE; 13,40   ;70%
NEOMOX;AMOXICILLINE;125;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 100 ML; 25,40   ;70%
CETAMYL;PARACETAMOL;500;MG;COMPRIME;1 BOITE 20 COMPRIME; 10,20   ;70%
POSICYCLINE;OXYTETRACYCLINE;1;%;COLLYRE;1 FLACON 5 ML; 29,90   ;0%
LOVENOX;ENOXAPARINE;2000;UI ANTI-XA;SOLUTION INJECTABLE;2 SERINGUE .2 ML; 71,60   ;70%
SINGULAIR;MONTELUKAST;10;MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME; 349,00   ;0%
PHENERGAN;PROMETHAZINE;25;MG;COMPRIME ENROBE;1 BOITE 20 DRAGEE; 10,60   ;70%
GIROFLOX;CIPROFLOXACINE;500;MG;COMPRIME PELLICULE;1 BOITE 16 COMPRIME; 336,00   ;70%
RAMIPRIL WIN;RAMIPRIL;10;MG;COMPRIME;1 BOITE 30 COMPRIME; 108,00   ;70%
RAMIPRIL WIN;RAMIPRIL;10;MG;COMPRIME;1 BOITE 30 COMPRIME; 108,00   ;70%
ARGININE VEYRON;ARGININE;75;G;SIROP;1 FLACON 125 ML; 38,30   ;0%
LESCOL LP;FLUVASTATINE;80;MG;COMPRIME ENROBE LP;1 BOITE 14 COMPRIME ENROBE; 184,60   ;70%
SANDIMMUN;CICLOSPORINE;100;MG;CAPSULE MOLLE;1 BOITE 50 CAPSULE; 1 746,00   ;70%
TOPIRAMATE GT 25 MG;TOPIRAMATE;25;MG;COMPRIME PELLICULE;1 BOITE 60 COMPRIME PELLICULE; 106,00   ;0%
CEFTRIAXONE MYLAN;CEFTRIAXONE;2;G;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 5 FLACON; 1 180,00   ;70%
OMIZ 20 MG;OMEPRAZOLE;20;MG;GELULE;1 BOITE 28 GELULE; 81,40   ;70%
DUXIL;ALMITRINE / RAUBASINE;1.875 / 0.625;G / G;SUSPENSION BUVABLE;1 FLACON 48 ML; 127,40   ;0%
GENTAMEN 120;GENTAMICINE;120;MG;SOLUTION INJECTABLE;1 BOITE 6 AMPOULE INJECTABLE; 90,00   ;70%
NOCAND 150 MG;FLUCONAZOLE;150;MG;GELULE;1 BOITE 4 GELULE; 50,00   ;70%
CEFTAJECT I.V 1G/3.5ML;CEFTRIAXONE;1;G;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON + AMPOULE; 90,00   ;70%
CEFTAJECT I.V 1G/3.5ML;CEFTRIAXONE;1;G;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON + AMPOULE; 90,00   ;70%
GABAMOX;GABAPENTINE;400;MG;GELULE;1 BOITE 30 GELULE; 210,00   ;0%
CEZIN;CETIRIZINE;10;MG;COMPRIME;1 BOITE 28 COMPRIME; 38,00   ;70%
BI-PROFENID;KETOPROFENE;150;MG;COMPRIME SECABLE;1 BOITE 20 COMPRIME; 92,50   ;70%
ADO;METFORMINE;850;MG;COMPRIME PELLICULE;1 BOITE 60 COMPRIME PELLICULE; 34,00   ;70%
TROBICINE;SPECTINOMYCINE;2;G;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 AMPOULE INJECTABLE; 85,00   ;70%
CETAMYL;PARACETAMOL;80;MG;SUPPOSITOIRE;1 BOITE 10 SUPPOSITOIRE; 9,00   ;70%
URADOX 2MG;DOXAZOSINE;2;MG;COMPRIME;1 BOITE 20 COMPRIME; 53,00   ;0%
URADOX 2MG;DOXAZOSINE;2;MG;COMPRIME;1 BOITE 20 COMPRIME; 53,00   ;0%
ROXID;NIFUROXAZIDE;200;MG;GELULE;1 BOITE 16 GELULE; 18,30   ;70%
ZYRDOL 500 MG/100ML;METRONIDAZOLE;500;MG;SOLUTION POUR PERFUSION;1 FLACON 100 ML; 45,00   ;70%
VOLTARENE SR;DICLOFENAC;75;MG;COMPRIME LP;1 BOITE 20 COMPRIME; 76,20   ;70%
CLENIDERM;BECLOMETASONE;0.025;%;CREME;1 TUBE 30 G; 20,00   ;0%
HIBOR 7500 UI ANTI XA;BEMIPARINE;7500;UI;SOLUTION INJECTABLE;1 BOITE 2 SERINGUE PREREMPLIE; 309,70   ;0%
EBETAXEL;PACLITAXEL;100;MG;SOLUTION A DILUER POUR PERFUSION;1 FLACON 16.7 ML; 1 563,00   ;70%
VIVAMYNE MULTI;MULTIVITAMINES ET MINERAUX;;NA;COMPRIME ENROBE;1 BOITE 15 COMPRIME; 37,00   ;0%
BRONCHOCIST ADULTES;CARBOCYSTEINE;2;%;SOLUTION BUVABLE;1 FLACON 125 ML; 20,40   ;0%
NEOCIP;CIPROFLOXACINE;500;MG;COMPRIME PELLICULE;1 BOITE 10 COMPRIME; 110,00   ;70%
POTASSIUM CHLORURE;CHLORURE DE POTASSIUM;20;%;SOLUTION POUR PERFUSION;1 BOITE 100 AMPOULE; -     ;0%
STIMOL 1 G;CITRULINE MALEATE;1;G;POUDRE EFFERVESCENTE POUR SOLUTION BUVABLE;1 BOITE 18 SACHET DOSE; 82,90   ;0%
HUMALOG;INSULINE HUMAINE;100;UI;SOLUTION INJECTABLE;5 CARTOUCHE 3 ML; 499,00   ;70%
BEROCCA;MULTIVITAMINES ET MINERAUX;;NA;COMPRIME EFFERVESCENT;1 BOITE 10 COMPRIME EFFERVESCENT; 39,00   ;0%
UMULINE NPH;INSULINE HUMAINE;100;UI;SUSPENSION INJECTABLE INTERMEDIAIRE;1 FLACON 10 ML; 166,00   ;70%
GARDASIL;VACCIN QUADRIVALENT CONTRE LE VIRUS HPV SEROTYPES 6,11,16 et 18;;NA;SUSPENSION INJECTABLE;1 BOITE 10 FLACON; 7 999,00   ;0%
ALGIXENE;NAPROXENE;250;MG;GELULE;1 BOITE 30 GELULE; 47,90   ;70%
HUMEX (FOURNIER) TAMPON;LEVOMENTHOL / CAMPHRE RACEMIQUE;42.11 / 42.11;G / G;TAMPON POUR INHALATION;1 BOITE 1 TAMPON; 19,00   ;0%
MYFORTIC 180 MG;ACIDE MYCOPHENOLIQUE;180;MG;COMPRIME PELLICULE GASTRO-RESISTANT;1 BOITE 120 COMPRIME PELLICULE GASTRO-RESISTANT; -     ;0%
ACTICARBINE;CHARBON ACTIVE / PAPAVERINE;70 / 14;MG / MG;COMPRIME ENROBE;1 BOITE 42 COMPRIME; 24,50   ;0%
CETIRAL;CETIRIZINE;1;MG;SOLUTION BUVABLE;1 FLACON 60 ML; 30,00   ;70%
CETIRAL;CETIRIZINE;1;MG;SOLUTION BUVABLE;1 FLACON 60 ML; 30,00   ;70%
DOPEZIL RANBAXY;DONEPEZIL;10;MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME PELLICULE; 506,00   ;70%
NORMACIDE;RANITIDINE;150;MG;COMPRIME;1 BOITE 20 COMPRIME; 81,50   ;70%
NORMACIDE;RANITIDINE;150;MG;COMPRIME;1 BOITE 20 COMPRIME; 81,50   ;70%
AXIMYCINE;AMOXICILLINE;1;G;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 15,10   ;70%
LETROZOLE GT;LETROZOLE;2.5;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME SECABLE; 713,00   ;70%
LETROZOLE GT;LETROZOLE;2.5;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME SECABLE; 713,00   ;70%
CEZIN;CETIRIZINE;10;MG;COMPRIME;1 BOITE 28 COMPRIME; 38,00   ;70%
AMIKLIN;AMIKACINE;250;MG;POUDRE POUR SOLUTION INJECTABLE;1 FLACON 250 ML; 103,80   ;70%
GENTAMEN 120;GENTAMICINE;120;MG;SOLUTION INJECTABLE;1 BOITE 1 AMPOULE INJECTABLE; 17,00   ;70%
CIBACALCINE;CALCITONINE HUMAINE;0.25;µG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 5 AMPOULE; 250,50   ;0%
CLAVAM;AMOXICILLINE / ACIDE CLAVULANIQUE;1 / 125;G / MG;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 12 SACHET; 120,00   ;70%
NEOCLAV;AMOXICILLINE / ACIDE CLAVULANIQUE;1 / 125;G / MG;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 16 SACHET; 116,00   ;70%
GRISEO;GRISEOFULVINE;125;MG;COMPRIME;1 BOITE 30 COMPRIME; 25,80   ;70%
OCET 200MG;OFLOXACINE;200;MG;COMPRIME ENROBE;1 BOITE 10 COMPRIME ENROBE; 58,90   ;0%
ORACEFAL;CEFADROXIL;500;MG;GELULE;1 BOITE 12 GELULE; 95,20   ;70%
TROPHIRES COMPOSE ENFANTS;HUILE ESSENTIELLE DEUCALYPTUS / PARACETAMOL;75 / 300;MG / MG;SUPPOSITOIRE;1 BOITE 8 SUPPOSITOIRE; 11,50   ;0%
ESMERON;ROCURONIUM;50;MG;SOLUTION INJECTABLE;1 BOITE 12 AMPOULE INJECTABLE; 997,40   ;0%
CLAVULIN;AMOXICILLINE / ACIDE CLAVULANIQUE;500 / 125;MG / MG;COMPRIME PELLICULE;1 BOITE 12 COMPRIME; 147,90   ;70%
FIXICAL D3;CALCIUM / COLECALCIFEROL (VITAMINE D3);500 / 400;MG / UI;COMPRIME A CROQUER;1 BOITE 30 COMPRIME; 42,20   ;70%
PARAPLATINE;CARBOPLATINE;150;MG;SOLUTION POUR PERFUSION;1 FLACON 15 ML; 1 871,00   ;70%
NO-DEP;SERTRALINE;50;MG;COMPRIME SECABLE;1 BOITE 60 COMPRIME; 201,00   ;70%
LUDIOMIL;MAPROTILINE;75;MG;DRAGEE;1 BOITE 20 DRAGEE; 81,30   ;70%
FOSTIMON 150 UI/ML;UROFOLLITROPINE;150;UI;POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;5 SERINGUE PREREMPLIE 1 ML; 1 434,00   ;0%
BACTOX;AMOXICILLINE;1;G;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 17,50   ;70%
ARTOTEC;DICLOFENAC / MISOPROSTOL;75 / 0.2;MG / MG;COMPRIME GASTRO-RESISTANT;1 BOITE 20 COMPRIME; 90,00   ;0%
DEXAMETHASONE MYLAN;DEXAMETHASONE;4;MG;SOLUTION INJECTABLE;1 BOITE 20 AMPOULE INJECTABLE; 182,40   ;70%
LEDERTREXATE;METHOTREXATE;1;G;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 492,50   ;70%
SODRIX 2.5MG;INDAPAMIDE;2.5;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME PELLICULE; 36,00   ;70%
SODRIX 2.5MG;INDAPAMIDE;2.5;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME PELLICULE; 36,00   ;70%
TRIATEC PROTECT;RAMIPRIL;10;MG;COMPRIME SECABLE;1 BOITE 15 COMPRIME; 112,00   ;70%
OPTICILLINE;AMPICILLINE;500;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 48,50   ;70%
CATARSTAT;PYRIDOXINE (VITAMINE B6) / ACIDE L GLUTAMIQUE;2 / 38;MG / MG;COLLYRE;1 FLACON 10 ML; 35,90   ;0%
LANSOYL GEL;PARAFFINE LIQUIDE;78;G;GEL ORAL;1 POT 225 G; 40,70   ;0%
NORMACIDE;RANITIDINE;300;MG;COMPRIME;1 BOITE 20 COMPRIME; 122,40   ;70%
NORMACIDE;RANITIDINE;300;MG;COMPRIME;1 BOITE 20 COMPRIME; 122,40   ;70%
ZINNAT;CEFUROXIME;250;MG;COMPRIME PELLICULE;1 BOITE 10 COMPRIME; 195,20   ;70%
LIDOCAINE 2% LAPROPHAN ADRENALINE;ADRENALINE / LIDOCAINE;0.125 / 2;% / %;SOLUTION INJECTABLE;1 AMPOULE 10 ML; 9,90   ;70%
MONO-TILDIEM LP;DILTIAZEM;200;MG;GELULE LP;1 BOITE 28 GELULE; 181,40   ;70%
MONO-TILDIEM LP;DILTIAZEM;200;MG;GELULE LP;1 BOITE 28 GELULE; 181,40   ;70%
SEBIVO 600 MG;TELBIVUDINE;600;MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME PELLICULE; -     ;0%
SEBIVO 600 MG;TELBIVUDINE;600;MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME PELLICULE; -     ;0%
BACICOLINE;BACITRACINE / COLISTIMETHATE;25000000 / 1;UI / G;POUDRE ET SOLVANT POUR COLLYRE;1 BOITE 1 FLACON; 35,00   ;0%
STREPTOCID;AMOXICILLINE;250;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 100 ML; 32,00   ;70%
STREPTOCID;AMOXICILLINE;250;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 100 ML; 32,00   ;70%
LANZOR;LANSOPRAZOLE;30;MG;GELULE GASTRO-RESISTANTE;1 BOITE 15 GELULE; 171,20   ;70%
XATRAL LP;ALFUZOSINE;5;MG;COMPRIME ENROBE LP;1 BOITE 56 COMPRIME; 454,40   ;70%
ANGLOR;AMLODIPINE;10;MG;COMPRIME;1 BOITE 28 COMPRIME; 77,40   ;70%
ZADITEN;KETOTIFENE;1;MG;SOLUTION BUVABLE;1 FLACON 150 ML; 67,70   ;0%
LACTEOL FORT;LACTOBACILLUS ACIDOPHILLUS;10000;MUI;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 20 SACHET; 37,50   ;0%
SINTROM;ACENOCOUMAROL;4;MG;COMPRIME QUADRISECABLE;1 BOITE 10 COMPRIME SECABLE; 17,90   ;70%
ULTRAVIST;IOPROMIDE;300;MG;SOLUTION INJECTABLE;1 FLACON 20 ML; 108,20   ;0%
TMS 500 MG;CIPROFLOXACINE;500;MG;COMPRIME PELLICULE;1 BOITE 2 COMPRIME; 40,00   ;70%
REVLIMID 10 MG;LENALIDOMIDE;10;MG;GELULE;1 BOITE 21 GELULE; -     ;0%
DOSTINEX;CABERGOLINE;0.5;MG;COMPRIME;1 BOITE 2 COMPRIME; 156,60   ;70%
ONIFINE;TERBINAFINE;250;MG;COMPRIME;1 BOITE 28 COMPRIME; 237,00   ;70%
ONIFINE;TERBINAFINE;250;MG;COMPRIME;1 BOITE 28 COMPRIME; 237,00   ;70%
TRIVASTAL;PIRIBEDIL;20;MG;COMPRIME ENROBE;1 BOITE 30 COMPRIME; 23,50   ;70%
NEO-CODION ADULTES;CODEINE;0.1722;%;SIROP;1 FLACON 150 ML; 17,60   ;0%
AMEP 10;AMLODIPINE;10;MG;COMPRIME;1 BOITE 14 COMPRIME; 54,80   ;70%
GLIDIABET;GLIBENCLAMIDE;5;MG;COMPRIME SECABLE;1 BOITE 60 COMPRIME; 45,50   ;70%
ACUPAN;NEFOPAM;20;MG;SOLUTION INJECTABLE;5 AMPOULE 2 ML; 52,40   ;70%
NOVORAPID PENFILL;INSULINE HUMAINE;100;UI;SOLUTION INJECTABLE;5 CARTOUCHE 3 ML; 517,00   ;70%
ESTRAPATCH 80 µG/24 HEURES;ESTRADIOL;2.50;MG;DISPOSITIF TRANSDERMIQUE;1 BOITE 4 PATCH; 95,50   ;0%
CRESTOR;ROSUVASTATINE;10;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 260,00   ;70%
CRESTOR;ROSUVASTATINE;10;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 260,00   ;70%
VISKEN;PINDOLOL;5;MG;COMPRIME;1 BOITE 50 COMPRIME; 56,10   ;70%
AZILIDE 200 MG/ 5 ML;AZITHROMYCINE;200;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 30 ML; 69,00   ;0%
HOLOXAN;IFOSFAMIDE;2;G;POUDRE POUR PERFUSION;1 BOITE 1 FLACON; 826,00   ;70%
CARDIOASPIRINE;ACIDE ACETYLSALICYLIQUE;100;MG;COMPRIME GASTRO-RESISTANT;1 BOITE 30 COMPRIME; 31,60   ;70%
CEZIN;CETIRIZINE;10;MG;COMPRIME;1 BOITE 7 COMPRIME; 11,00   ;70%
CEZIN;CETIRIZINE;10;MG;COMPRIME;1 BOITE 7 COMPRIME; 11,00   ;70%
RANITIL;RANITIDINE;150;MG;COMPRIME EFFERVESCENT;1 BOITE 20 COMPRIME; 81,00   ;70%
INIKAL 10 MG;AMLODIPINE;10;MG;COMPRIME;1 BOITE 30 COMPRIME; 76,00   ;70%
HEXABRIX;IOXAGLATE DE SODIUM ET DE MEGLUMINE;160;MG;SOLUTION INJECTABLE;1 FLACON 100 ML; 385,40   ;0%
LYRICA;PREGABALIN;200;MG;GELULE;1 BOITE 84 GELULE; 1 000,00   ;0%
FACTIVE 320 MG;MESYLATE DE GEMIFLOXACINE;426.40;MG;COMPRIME PELLICULE;1 BOITE 5 COMPRIME PELLICULE; 213,50   ;0%
PENAMOX;AMOXICILLINE;500;MG;COMPRIME DISPERSIBLE;1 BOITE 12 COMPRIME; 34,60   ;70%
BUCOPEN;PHENOXYMETHYLPENICILLINE;1;MUI;COMPRIME PELLICULE;1 BOITE 12 COMPRIME; 29,00   ;70%
BUCOPEN;PHENOXYMETHYLPENICILLINE;1;MUI;COMPRIME PELLICULE;1 BOITE 12 COMPRIME; 29,00   ;70%
DUXIL;ALMITRINE / RAUBASINE;30 / 10;MG / MG;COMPRIME ENROBE;1 BOITE 30 COMPRIME; 121,60   ;0%
HYTACAND;CANDESARTAN / HYDROCHLOROTHIAZIDE;16 / 12.5;MG / MG;COMPRIME;1 BOITE 28 COMPRIME; 241,00   ;70%
VACCIN BCG SSI;LA TUBERCULOSE [BCG];;NA;POUDRE POUR SUSPENSION INJECTABLE;1 BOITE 1 FLACON; 65,50   ;70%
TRITANRIX HB;VACCIN D.T.COQ.HEPATITE B;;NA;PREPARATION INJECTABLE;1 BOITE 1 FLACON; 122,80   ;70%
STREPTOCID;AMOXICILLINE;500;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 32,50   ;70%
TRIMEDAT;TRIMEBUTINE;150;MG;GELULE;1 BOITE 30 GELULE; 74,40   ;70%
GALVUS MET 50MG/1000MG;VILDAGLIPTINE / METFORMINE;50 / 1000;MG / MG;COMPRIME PELLICULE;1 BOITE 60 COMPRIME PELLICULE; 392,00   ;0%
URO 3000 CHLORURE DE SODIUM AGUETTANT;CHLORURE DE SODIUM;0.9;G;SOLUTION POUR IRRIGATION;1 POCHE 3 L; 105,00   ;0%
EAU P.P.I.;EAU POUR PREPARATION INJECTABLE;10;ML;SOLVANT POUR PEPARATION INJECTABLE;1 BOITE 10 AMPOULE INJECTABLE; 26,70   ;0%
HUMEX NASAL;CHLORURE DE BENZALKONIUM;0.04;%;SOLUTION POUR PULVERISATION NASALE;1 FLACON 15 ML; 20,40   ;0%
METHYLPREDNISOLONE MYLAN;METHYLPREDNISOLONE;40;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 22,00   ;70%
AMOXIL;AMOXICILLINE;125;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 100 ML; 25,40   ;70%
MYNAZOL;FLUCONAZOLE;150;MG;GELULE;1 BOITE 1 GELULE; 24,00   ;70%
ANTARENE;IBUPROFENE;200;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 23,50   ;70%
DIASTER;CORTIVAZOL;0.4;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME; 34,70   ;0%
DETENSIEL;BISOPROLOL;10;MG;COMPRIME PELLICULE SECABLE;1 BOITE 30 COMPRIME PELLICULE SECABLE; 72,00   ;70%
DIANE 35;CYPROTERONE / ETHINYLESTRADIOL;2 / 35;MG / µG;COMPRIME ENROBE;1 BOITE 21 COMPRIME; 52,10   ;0%
STIMOL 1 G;CITRULINE MALEATE;1;G;POUDRE EFFERVESCENTE POUR SOLUTION BUVABLE;1 BOITE 18 SACHET DOSE; 82,90   ;0%
ODIA;GLIMEPIRIDE;1;MG;COMPRIME;1 BOITE 60 COMPRIME; 73,00   ;70%
DOLIPRANE;PARACETAMOL;200;MG;POUDRE POUR SOLUTION BUVABLE;1 BOITE 12 SACHET; 11,20   ;70%
STALEVO 50/12.5/200 MG;ENTACAPONE / LEVODOPA / CARBIDOPA;200 / 50 / 13.50;MG / MG / MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME PELLICULE; 404,10   ;0%
STALEVO 50/12.5/200 MG;ENTACAPONE / LEVODOPA / CARBIDOPA;200 / 50 / 13.50;MG / MG / MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME PELLICULE; 404,10   ;0%
HIBOR 2500 UI ANTI XA;BEMIPARINE;2500;UI;SOLUTION INJECTABLE;1 BOITE 30 SERINGUE PREREMPLIE; 671,00   ;0%
NAPROXENE PHARMA;NAPROXENE;275;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 6 FLACON; 32,60   ;70%
ZAREX;CARBOPLATINE;150;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 968,00   ;70%
TRIAXON 1G I.M.;CEFTRIAXONE;1;G;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 114,30   ;70%
MEGAFLOX IV;CIPROFLOXACINE;400;MG;SOLUTION POUR PERFUSION;1 FLACON 200 ML; 271,00   ;70%
RETISOL-A;TRETINOINE;0.025;%;CREME;1 TUBE 25 G; 96,80   ;0%
PHARMATEX;BENZALKONIUM;54;MG;CREME VAGINALE;1 BOITE 6 TUBE; 73,80   ;0%
FACTIVE 320 MG;MESYLATE DE GEMIFLOXACINE;426.40;MG;COMPRIME PELLICULE;1 BOITE 5 COMPRIME PELLICULE; 213,50   ;0%
THIOBACTIN;THIAMPHENICOL;250;MG;COMPRIME;1 BOITE 16 COMPRIME; 31,30   ;70%
GENOTROPIN;SOMATROPINE;16;UI;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 CARTOUCHE; 1 212,00   ;70%
OXIFLOR;OFLOXACINE;200;MG;COMPRIME PELLICULE;1 BOITE 20 COMPRIME; 112,00   ;70%
SILDENAFIL WIN 50 MG;SILDENAFIL;50;MG;COMPRIME PELLICULE;1 BOITE 4 COMPRIME PELLICULE; 88,50   ;0%
PROGOR;DILTIAZEM;180;MG;GELULE LP;1 BOITE 28 GELULE; 122,00   ;70%
AGYRAX;MECLOZINE;25;MG;COMPRIME;1 BOITE 30 COMPRIME; 25,00   ;0%
MEGAFLOX IST;CIPROFLOXACINE;500;MG;COMPRIME PELLICULE;1 BOITE 2 COMPRIME; 38,00   ;70%
FURAZIDE;NITROFURANTOINE;50;MG;COMPRIME;1 BOITE 21 COMPRIME; 17,30   ;70%
AUGMENTIN;AMOXICILLINE / ACIDE CLAVULANIQUE;100 / 12.5;MG / MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 70,60   ;70%
LIPANTHYL;FENOFIBRATE;100;MG;GELULE;1 BOITE 48 GELULE; 43,75   ;70%
SERETIDE;FLUTICASONE / SALMETEROL;250 / 50;µG / µG;POUDRE POUR INHALATION;1 DISTRIBUTEUR 60 DOSE; 248,00   ;70%
AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN;AMOXICILLINE / ACIDE CLAVULANIQUE;500 / 50;MG / MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 10 FLACON; 160,00   ;70%
ATHYMIL;MIANSERINE;30;MG;COMPRIME ENROBE;1 BOITE 20 COMPRIME; 98,30   ;70%
FUNGIZONE;AMPHOTERICINE B;3;%;LOTION;1 FLACON 30 ML; 18,00   ;70%
ZENTEL;ALBENDAZOLE;400;MG;COMPRIME;1 BOITE 1 COMPRIME; 37,30   ;70%
AXIMYCINE;AMOXICILLINE;500;MG;COMPRIME DISPERSIBLE;1 BOITE 24 COMPRIME DISPERSIBLE; 65,40   ;70%
LODOZ;BISOPROLOL / HYDROCHLOROTHIAZIDE;10 / 6.25;MG / MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 76,00   ;70%
ALPERIDE 200 MG;AMISULPRIDE;200;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME SECABLE; 204,00   ;70%
DITROPAN;OXYBUTININE;5;MG;COMPRIME SECABLE;1 BOITE 60 COMPRIME; 76,85   ;0%
DITROPAN;OXYBUTININE;5;MG;COMPRIME SECABLE;1 BOITE 60 COMPRIME; 76,85   ;0%
BRUFEN;IBUPROFENE;500;MG;SUPPOSITOIRE;1 BOITE 12 SUPPOSITOIRE; 23,90   ;70%
ENDOXAN 50 MG;CYCLOPHOSPHAMIDE;50;MG;COMPRIME ENROBE;1 BOITE 50 COMPRIME ENROBE; 87,20   ;70%
VOGALENE;METOPIMAZINE;10;MG;SOLUTION INJECTABLE;1 BOITE 5 AMPOULE INJECTABLE; 15,60   ;70%
EMADINE;EMEDASTINE;0.05;%;COLLYRE;1 FLACON 5 ML; 100,00   ;0%
LACINE;LOSARTAN;50;MG;COMPRIME ENROBE SECABLE;1 BOITE 30 COMPRIME; 159,90   ;70%
METHOTREXATE BIODIM;METHOTREXATE;5;MG;SOLUTION INJECTABLE;1 FLACON 2 ML; 30,70   ;70%
RAPIFEN (H);ALFENTANIL;1;MG;SOLUTION INJECTABLE;1 BOITE 5 AMPOULE; -     ;0%
AUGMENTIN;AMOXICILLINE / ACIDE CLAVULANIQUE;1 / 200;G / MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 47,80   ;70%
STARPEN;PHENOXYMETHYLPENICILLINE BENZATHINE;1;MUI;COMPRIME PELLICULE;1 BOITE 12 COMPRIME; 34,10   ;70%
AVOSTAV;STAVUDINE;30;MG;GELULE;1 BOITE 60 GELULE; 337,00   ;70%
AVOSTAV;STAVUDINE;30;MG;GELULE;1 BOITE 60 GELULE; 337,00   ;70%
CUTIVATE;FLUTICASONE;50;MG;CREME;1 TUBE 15 G; 24,50   ;0%
FLOXIL;FLUCLOXACILLINE;500;MG;GELULE;1 BOITE 16 GELULE; 79,30   ;70%
HEXAPNEUMINE AD;BICLOTYMOL;;NA;SUPPOSITOIRE;1 BOITE 6 SUPPOSITOIRE; 17,85   ;0%
NEOTIGASON;ACITRETINE;10;MG;GELULE;1 BOITE 30 GELULE; 342,20   ;0%
FLUORO URACILE ICN;FLUOROURACIL;250;MG;SOLUTION POUR PERFUSION;1 BOITE 12 VIALS; 257,00   ;70%
TIAFLAM 200MG;ACIDE TIAPROFENIQUE;200;MG;COMPRIME;1 BOITE 10 COMPRIME; 20,20   ;0%
MONEVA;GESTODENE / ETHINYLESTRADIOL;0.075 / 0.03;MG / MG;COMPRIME ENROBE;1 BOITE 21 COMPRIME ENROBE; 62,90   ;0%
HEXAPNEUMINE NR;BICLOTYMOL;;NA;SIROP;1 FLACON 100 ML; 16,55   ;0%
DELTAZINE ADRENALINE;ARTICAINE;72;MG;SOLUTION INJECTABLE;1 BOITE 50 CARTOUCHE; 205,00   ;0%
NOVONORM;REPAGLINIDE;2;MG;COMPRIME;1 BOITE 30 COMPRIME; 57,60   ;70%
